name,lat,lon,timezone
KBAK,1.663052,110.440508,Singapore Standard Time
KBAN,4.427119,118.52067,Singapore Standard Time
KBIA,5.2727,116.16127,Singapore Standard Time
KBLD,6.355185,116.43257,Singapore Standard Time
KDRM,1.5689,110.305167,Singapore Standard Time
KEPE,5.342919,116.15866,Singapore Standard Time
KERE,1.601519,110.358551,Singapore Standard Time
KEVV,5.344024,116.14419,Singapore Standard Time
KGAU,5.36922,116.15443,Singapore Standard Time
KGBE,5.281989,115.184042,Singapore Standard Time
KGHO,5.92882,116.11517,Singapore Standard Time
KGKR,5.327755,115.24252,Singapore Standard Time
KGTA,5.346361,115.239348,Singapore Standard Time
KHOS,5.374524,116.18297,Singapore Standard Time
KIAT,1.490718,110.345668,Singapore Standard Time
KITE,1.591361,110.325777,Singapore Standard Time
KKPZ,5.983,116.07388,Singapore Standard Time
KKTO,5.998596,116.1129,Singapore Standard Time
KLJM,5.35744,115.22757,Singapore Standard Time
KLMP,4.43181,118.27637,Singapore Standard Time
KMSB,1.717785,110.31578,Singapore Standard Time
KMSH,1.36735,110.535,Singapore Standard Time
KOBS,5.937018,116.07668,Singapore Standard Time
KOLO,5.98587,116.12379,Singapore Standard Time
KOPG,5.947871,116.065687,Singapore Standard Time
KOSH,5.33172,116.15519,Singapore Standard Time
KOST,5.992567,116.106567,Singapore Standard Time
KPBN,1.70336,110.37086,Singapore Standard Time
KPED,1.3796,110.44547,Singapore Standard Time
KPIT,2.01258,112.93547,Singapore Standard Time
KPPA,1.25091,110.48432,Singapore Standard Time
KPRP,1.642049,110.336298,Singapore Standard Time
KSBD,5.295572,115.208318,Singapore Standard Time
KTSA,1.470525,110.49244,Singapore Standard Time
KUAP,1.40564,110.36666,Singapore Standard Time
KUSE,1.279135,110.448001,Singapore Standard Time
KUWA,5.964991,116.070887,Singapore Standard Time
LAAN,6.008171,116.131085,Singapore Standard Time
LAKA,5.3159,116.14456,Singapore Standard Time
LAZN,5.298049,115.259109,Singapore Standard Time
LCOS,5.354316,116.171638,Singapore Standard Time
LEEG,1.570092,110.301207,Singapore Standard Time
LGAN,5.37313,116.16405,Singapore Standard Time
LIMT,4.741076,115.00881,Singapore Standard Time
LITA,1.577444,110.350694,Singapore Standard Time
LITC,4.755111,115.009226,Singapore Standard Time
LIWH,1.553615,110.353674,Singapore Standard Time
LKSQ,5.99004,116.09237,Singapore Standard Time
LNJY,5.930958,116.0703,Singapore Standard Time
LODG,1.527979,110.390768,Singapore Standard Time
LPLB,5.988873,116.07974,Singapore Standard Time
LWAS,4.85844,115.40576,Singapore Standard Time
LWST,4.870057,115.406989,Singapore Standard Time
LYGN,5.342618,115.202267,Singapore Standard Time
MAUI,5.958021,116.064966,Singapore Standard Time
MCHR,5.346119,116.169298,Singapore Standard Time
MELB,1.45525,110.44031,Singapore Standard Time
MIER,1.515103,110.353812,Singapore Standard Time
MKAW,1.513522,110.305232,Singapore Standard Time
MNTK,5.382594,115.238919,Singapore Standard Time
MRTB,1.65299,110.476992,Singapore Standard Time
MTJY,1.574903,110.294159,Singapore Standard Time
MUAT,1.45645,110.494105,Singapore Standard Time
NAMP,5.910988,116.117507,Singapore Standard Time
NEKA,5.970833,116.07499,Singapore Standard Time
NELY,5.980648,116.12298,Singapore Standard Time
NEWD,5.90834,116.10306,Singapore Standard Time
NGAL,6.24447,116.3257,Singapore Standard Time
NGAU,5.335822,116.150375,Singapore Standard Time
NGGK,1.37929,110.32395,Singapore Standard Time
NIUP,1.402945,110.530342,Singapore Standard Time
NONG,5.965233,116.063349,Singapore Standard Time
NOSO,5.9218,116.083968,Singapore Standard Time
NWON,1.569597,110.3121,Singapore Standard Time
OKKD,5.332333,115.195068,Singapore Standard Time
PBAI,6.34059,116.403068,Singapore Standard Time
PBKB,6.359323,116.42837,Singapore Standard Time
PDOG,5.912696,116.10231,Singapore Standard Time
PEND,1.549333,110.375975,Singapore Standard Time
PENM,5.921341,116.097558,Singapore Standard Time
PENP,5.928758,116.098316,Singapore Standard Time
PENV,1.55014,110.386,Singapore Standard Time
PETR,5.918736,116.06607,Singapore Standard Time
PGAN,1.55353,110.363332,Singapore Standard Time
PGAY,6.010816,116.06089,Singapore Standard Time
PHAB,4.78473,114.99636,Singapore Standard Time
PIRS,6.323101,116.42584,Singapore Standard Time
PLZS,5.950852,116.07247,Singapore Standard Time
PMAR,1.5574,110.3597,Singapore Standard Time
POOL,1.146394,110.58513,Singapore Standard Time
PPJC,1.667406,110.336103,Singapore Standard Time
PROM,5.97382,116.06769,Singapore Standard Time
PSSU,5.9656,116.0567,Singapore Standard Time
PTNG,5.342744,116.126227,Singapore Standard Time
PULK,1.364484,110.322046,Singapore Standard Time
RABA,1.583675,110.369684,Singapore Standard Time
RADI,5.981241,116.1054,Singapore Standard Time
RANC,5.259181,115.234768,Singapore Standard Time
RAUT,5.961642,116.665966,Singapore Standard Time
REPA,1.537232,110.324636,Singapore Standard Time
REPC,5.959098,116.079222,Singapore Standard Time
RIVR,1.48768,110.40063,Singapore Standard Time
RPRB,1.523452,110.318033,Singapore Standard Time
RSGP,5.943689,116.081495,Singapore Standard Time
RTMK,6.35937,116.42104,Singapore Standard Time
RYSM,1.4672,110.43471,Singapore Standard Time
SANG,1.559229,110.299712,Singapore Standard Time
SAST,1.734,110.31486,Singapore Standard Time
SBPS,5.954775,116.107183,Singapore Standard Time
SEJI,1.593776,110.444177,Singapore Standard Time
SEMO,1.3973,110.33917,Singapore Standard Time
SETT,1.49944,110.385,Singapore Standard Time
SGLD,5.306985,115.18372,Singapore Standard Time
SGSU,1.482992,110.523876,Singapore Standard Time
SGTR,1.21072,110.53122,Singapore Standard Time
SIBU,1.35517,110.41107,Singapore Standard Time
SIMU,4.46796,118.61447,Singapore Standard Time
SIOL,1.572296,110.360805,Singapore Standard Time
SMIP,1.595222,110.429888,Singapore Standard Time
SMPR,4.477252,118.61052,Singapore Standard Time
SMRD,1.43898,110.40246,Singapore Standard Time
SMRG,1.629487,110.330399,Singapore Standard Time
SMRI,1.63258,110.339061,Singapore Standard Time
SMTL,5.334272,115.233054,Singapore Standard Time
SONG,1.51975,110.359837,Singapore Standard Time
SOUR,1.588564,110.3627,Singapore Standard Time
SQSB,5.947862,116.090337,Singapore Standard Time
SRAN,1.171974,110.56602,Singapore Standard Time
SRIW,1.578,110.315,Singapore Standard Time
SRKP,5.940245,116.067904,Singapore Standard Time
STIG,1.535013,110.356267,Singapore Standard Time
SUGD,5.968053,116.08363,Singapore Standard Time
SUKN,5.9705,116.128951,Singapore Standard Time
SUMA,1.442717,110.537133,Singapore Standard Time
SUNN,1.522403,110.335065,Singapore Standard Time
TABI,1.535016,110.386292,Singapore Standard Time
TAGS,4.430211,118.54658,Singapore Standard Time
TDIX,5.941139,116.088944,Singapore Standard Time
TENH,6.264639,116.34336,Singapore Standard Time
TGKA,4.50718,118.54897,Singapore Standard Time
TGUS,6.399517,116.437001,Singapore Standard Time
THSR,1.298693,110.40631,Singapore Standard Time
TJPZ,5.951449,116.05346,Singapore Standard Time
TMAN,1.174534,110.57317,Singapore Standard Time
TMDB,1.451119,110.46537,Singapore Standard Time
TMMH,1.39316,110.35625,Singapore Standard Time
TMSC,5.28866,115.26383,Singapore Standard Time
TMTJ,1.582073,110.304209,Singapore Standard Time
TMTU,1.162448,110.54883,Singapore Standard Time
TNTR,1.43107,110.38876,Singapore Standard Time
TOSR,5.926208,116.076739,Singapore Standard Time
TQKI,5.9707,116.06521,Singapore Standard Time
